video_name,x,y,w,h
9-1-2-submit-00000,0.5862083333333333,0.4073333333333333,0.21875,0.3888888888888889
9-1-2-submit-73479,0.5862083333333333,0.4073333333333333,0.21875,0.3888888888888889
9-1-2-submit-73549,0.5862083333333333,0.4073333333333333,0.21875,0.3888888888888889
9-1-2-submit-74734,0.5862083333333333,0.4073333333333333,0.21875,0.3888888888888889
9-1-2-submit-74766,0.5862083333333333,0.4073333333333333,0.21875,0.3888888888888889
9-1-2-submit-75090,0.5862083333333333,0.4073333333333333,0.21875,0.3888888888888889
8-1-1-submit-00000,0.3399062500000001,0.5129444444444444,0.2234375,0.3972222222222222
8-1-1-submit-73479,0.3399062500000001,0.5129444444444444,0.2234375,0.3972222222222222
8-1-1-submit-73549,0.3399062500000001,0.5129444444444444,0.2234375,0.3972222222222222
8-1-1-submit-74734,0.3399062500000001,0.5129444444444444,0.2234375,0.3972222222222222
8-1-1-submit-74766,0.3399062500000001,0.5129444444444444,0.2234375,0.3972222222222222
8-1-1-submit-75090,0.3399062500000001,0.5129444444444444,0.2234375,0.3972222222222222
22-1-1-submit-00000,0.4785565476190475,0.4808465608465608,0.2369791666666666,0.4212962962962963
22-1-1-submit-73479,0.4785565476190475,0.4808465608465608,0.2369791666666666,0.4212962962962963
22-1-1-submit-73549,0.4785565476190475,0.4808465608465608,0.2369791666666666,0.4212962962962963
22-1-1-submit-74734,0.4785565476190475,0.4808465608465608,0.2369791666666666,0.4212962962962963
22-1-1-submit-74766,0.4785565476190475,0.4808465608465608,0.2369791666666666,0.4212962962962963
22-1-1-submit-75090,0.4785565476190475,0.4808465608465608,0.2369791666666666,0.4212962962962963
16-2-3-submit-00000,0.5249270833333334,0.5161296296296296,0.3322916666666666,0.5907407407407408
16-2-3-submit-73479,0.5249270833333334,0.5161296296296296,0.3322916666666666,0.5907407407407408
16-2-3-submit-73549,0.5249270833333334,0.5161296296296296,0.3322916666666666,0.5907407407407408
