name,mos
10-1-8-submit-00000-crop,4.2
10-1-8-submit-91740-crop,4
10-1-8-submit-92068-crop,3.8
10-1-8-submit-92069-crop,3.2
10-1-8-submit-92147-crop,4
10-1-8-submit-92582-crop,3.6
10-1-8-submit-92584-crop,1.8
10-1-8-submit-93014-crop,4.2
10-1-8-submit-93056-crop,4.2
10-1-8-submit-93059-crop,4.2
10-1-8-submit-93060-crop,4.2
10-1-8-submit-93062-crop,4.2
10-1-8-submit-93065-crop,4.2
10-1-8-submit-93110-crop,4
10-1-8-submit-93169-crop,2.6
10-1-8-submit-93170-crop,2.6
10-2-2-submit-00000-crop,4
10-2-2-submit-91740-crop,3.2
10-2-2-submit-92068-crop,3.6
10-2-2-submit-92069-crop,3.4
10-2-2-submit-92147-crop,3.8
10-2-2-submit-92582-crop,3.4
10-2-2-submit-92584-crop,1.8
10-2-2-submit-93014-crop,4
10-2-2-submit-93056-crop,4
10-2-2-submit-93059-crop,4.2
10-2-2-submit-93060-crop,3.8
10-2-2-submit-93062-crop,4
10-2-2-submit-93065-crop,4
10-2-2-submit-93110-crop,3.8
10-2-2-submit-93169-crop,2.2
10-2-2-submit-93170-crop,2
1-1-6-submit-00000-crop,4.4
1-1-6-submit-91740-crop,3.8
1-1-6-submit-92068-crop,3.4
1-1-6-submit-92069-crop,3.2
1-1-6-submit-92147-crop,4.2
1-1-6-submit-92582-crop,3.2
1-1-6-submit-92584-crop,1.8
1-1-6-submit-93014-crop,4.2
1-1-6-submit-93056-crop,4
1-1-6-submit-93059-crop,4
1-1-6-submit-93060-crop,4.2
1-1-6-submit-93062-crop,4.4
1-1-6-submit-93065-crop,4.2
1-1-6-submit-93110-crop,3.4
1-1-6-submit-93169-crop,1.8
1-1-6-submit-93170-crop,1.4
12-1-15-submit-00000-crop,4
12-1-15-submit-91740-crop,3.4
12-1-15-submit-92068-crop,3.8
12-1-15-submit-92069-crop,3.4
12-1-15-submit-92147-crop,3.4
12-1-15-submit-92582-crop,3.2
12-1-15-submit-92584-crop,2
12-1-15-submit-93014-crop,4
12-1-15-submit-93056-crop,4
12-1-15-submit-93059-crop,4.2
12-1-15-submit-93060-crop,4
12-1-15-submit-93062-crop,3.6
12-1-15-submit-93065-crop,4
12-1-15-submit-93110-crop,4
12-1-15-submit-93169-crop,2.8
12-1-15-submit-93170-crop,3
12-2-12-submit-00000-crop,4.2
12-2-12-submit-91740-crop,2.4
12-2-12-submit-92068-crop,3.8
12-2-12-submit-92069-crop,3.4
12-2-12-submit-92147-crop,2.8
12-2-12-submit-92582-crop,2.8
12-2-12-submit-92584-crop,1.8
12-2-12-submit-93014-crop,4.2
12-2-12-submit-93056-crop,4.2
