name,width,height,framerate
10-1-4-submit-00000,1920,1080,30.0
10-1-4-submit-82495,1920,1080,30.0
10-1-4-submit-82501,1920,1080,30.0
10-1-4-submit-82508,1920,1080,30.0
10-1-4-submit-82511,1920,1080,30.0
10-1-4-submit-82882,1920,1080,30.0
10-1-4-submit-82910,1920,1080,30.0
10-1-4-submit-82999,1920,1080,30.0
10-1-4-submit-83063,1920,1080,30.0
10-1-4-submit-83485,1920,1080,30.0
10-1-4-submit-83496,1920,1080,30.0
10-1-4-submit-83609,1920,1080,30.0
10-1-4-submit-83619,640,368,24.0
10-1-4-target,1920,1080,30.0
10-2-3-submit-00000,1920,1080,30.0
10-2-3-submit-82495,1920,1080,30.0
10-2-3-submit-82501,1920,1080,30.0
10-2-3-submit-82508,1920,1080,30.0
10-2-3-submit-82511,1920,1080,30.0
10-2-3-submit-82882,1920,1080,30.0
10-2-3-submit-82910,1920,1080,30.0
10-2-3-submit-82999,1920,1080,30.0
10-2-3-submit-83063,1920,1080,30.0
10-2-3-submit-83485,1920,1080,30.0
10-2-3-submit-83496,1920,1080,30.0
10-2-3-submit-83609,1920,1080,30.0
10-2-3-submit-83619,640,368,24.0
10-2-3-target,1920,1080,30.0
1-1-4-submit-00000,1920,1080,30.0
1-1-4-submit-82495,1920,1080,30.0
1-1-4-submit-82501,1920,1080,30.0
1-1-4-submit-82508,1920,1080,30.0
1-1-4-submit-82511,1920,1080,30.0
1-1-4-submit-82882,1920,1080,30.0
1-1-4-submit-82910,1920,1080,30.0
1-1-4-submit-82999,1920,1080,30.0
1-1-4-submit-83063,1920,1080,30.0
1-1-4-submit-83485,1920,1080,30.0
1-1-4-submit-83496,1920,1080,30.0
1-1-4-submit-83609,1920,1080,30.0
1-1-4-submit-83619,640,368,24.0
1-1-4-target,1920,1080,30.0
12-1-9-submit-00000,1920,1080,30.0
12-1-9-submit-82495,1920,1080,30.0
12-1-9-submit-82501,1920,1080,30.0
12-1-9-submit-82508,1920,1080,30.0
12-1-9-submit-82511,1920,1080,30.0
12-1-9-submit-82882,1920,1080,30.0
12-1-9-submit-82910,1920,1080,30.0
12-1-9-submit-82999,1920,1080,30.0
12-1-9-submit-83063,1920,1080,30.0
12-1-9-submit-83485,1920,1080,30.0
12-1-9-submit-83496,1920,1080,30.0
12-1-9-submit-83609,1920,1080,30.0
12-1-9-submit-83619,640,368,24.0
12-1-9-target,1920,1080,30.0
12-2-4-submit-00000,1920,1080,30.0
12-2-4-submit-82495,1920,1080,30.0
12-2-4-submit-82501,1920,1080,30.0
12-2-4-submit-82508,1920,1080,30.0
12-2-4-submit-82511,1920,1080,30.0
12-2-4-submit-82882,1920,1080,30.0
12-2-4-submit-82910,1920,1080,30.0
12-2-4-submit-82999,1920,1080,30.0
12-2-4-submit-83063,1920,1080,30.0
12-2-4-submit-83485,1920,1080,30.0
12-2-4-submit-83496,1920,1080,30.0
12-2-4-submit-83609,1920,1080,30.0
12-2-4-submit-83619,640,368,24.0
12-2-4-target,1920,1080,30.0
1-2-3-submit-00000,1920,1080,30.0
1-2-3-submit-82495,1920,1080,30.0
1-2-3-submit-82501,1920,1080,30.0
1-2-3-submit-82508,1920,1080,30.0
1-2-3-submit-82511,1920,1080,30.0
1-2-3-submit-82882,1920,1080,30.0
1-2-3-submit-82910,1920,1080,30.0
1-2-3-submit-82999,1920,1080,30.0
1-2-3-submit-83063,1920,1080,30.0
1-2-3-submit-83485,1920,1080,30.0
1-2-3-submit-83496,1920,1080,30.0
1-2-3-submit-83609,1920,1080,30.0
1-2-3-submit-83619,640,368,24.0
1-2-3-target,1920,1080,30.0
13-1-3-submit-00000,1920,1080,30.0
13-1-3-submit-82495,1920,1080,30.0
13-1-3-submit-82501,1920,1080,30.0
13-1-3-submit-82508,1920,1080,30.0
13-1-3-submit-82511,1920,1080,30.0
13-1-3-submit-82882,1920,1080,30.0
13-1-3-submit-82910,1920,1080,30.0
13-1-3-submit-82999,1920,1080,30.0
13-1-3-submit-83063,1920,1080,30.0
13-1-3-submit-83485,1920,1080,30.0
13-1-3-submit-83496,1920,1080,30.0
13-1-3-submit-83609,1920,1080,30.0
13-1-3-submit-83619,640,368,24.0
13-1-3-target,1920,1080,30.0
13-2-4-submit-00000,1920,1080,120.0
13-2-4-submit-82495,1920,1080,120.0
13-2-4-submit-82501,1920,1080,120.0
13-2-4-submit-82508,1920,1080,120.0
13-2-4-submit-82511,1920,1080,120.0
13-2-4-submit-82882,1920,1080,120.0
13-2-4-submit-82910,1920,1080,120.0
13-2-4-submit-82999,1920,1080,120.0
13-2-4-submit-83063,1920,1080,30.0
13-2-4-submit-83485,1920,1080,120.0
13-2-4-submit-83496,1920,1080,120.0
13-2-4-submit-83609,1920,1080,120.0
13-2-4-submit-83619,640,368,24.0
13-2-4-target,1920,1080,120.0
14-1-2-submit-00000,1920,1080,30.0
14-1-2-submit-82495,1920,1080,30.0
14-1-2-submit-82501,1920,1080,30.0
14-1-2-submit-82508,1920,1080,30.0
14-1-2-submit-82511,1920,1080,30.0
14-1-2-submit-82882,1920,1080,30.0
14-1-2-submit-82910,1920,1080,30.0
14-1-2-submit-82999,1920,1080,30.0
14-1-2-submit-83063,1920,1080,30.0
14-1-2-submit-83485,1920,1080,30.0
14-1-2-submit-83496,1920,1080,30.0
14-1-2-submit-83609,1920,1080,30.0
14-1-2-submit-83619,640,368,24.0
14-1-2-target,1920,1080,30.0
14-2-4-submit-00000,1920,1080,30.0
14-2-4-submit-82495,1920,1080,30.0
