name,mos
10-1-4-submit-00000-crop,3.845
10-1-4-submit-82495-crop,3.09
10-1-4-submit-82501-crop,3.895
10-1-4-submit-82508-crop,1.795
10-1-4-submit-82511-crop,3.72
10-1-4-submit-82882-crop,3.91
10-1-4-submit-82910-crop,3.65
10-1-4-submit-82999-crop,2.755
10-1-4-submit-83063-crop,2.63
10-1-4-submit-83485-crop,1.775
10-1-4-submit-83496-crop,2.93
10-1-4-submit-83609-crop,3.215
10-1-4-submit-83619-crop,3.445
10-2-3-submit-00000-crop,3.845
10-2-3-submit-82495-crop,3.09
10-2-3-submit-82501-crop,3.895
10-2-3-submit-82508-crop,1.795
10-2-3-submit-82511-crop,3.72
10-2-3-submit-82882-crop,3.91
10-2-3-submit-82910-crop,3.65
10-2-3-submit-82999-crop,2.755
10-2-3-submit-83063-crop,2.63
10-2-3-submit-83485-crop,1.775
10-2-3-submit-83496-crop,2.93
10-2-3-submit-83609-crop,3.215
10-2-3-submit-83619-crop,3.445
1-1-4-submit-00000-crop,3.845
1-1-4-submit-82495-crop,3.09
1-1-4-submit-82501-crop,3.895
1-1-4-submit-82508-crop,1.795
1-1-4-submit-82511-crop,3.72
1-1-4-submit-82882-crop,3.91
1-1-4-submit-82910-crop,3.65
1-1-4-submit-82999-crop,2.755
1-1-4-submit-83063-crop,2.63
1-1-4-submit-83485-crop,1.775
1-1-4-submit-83496-crop,2.93
1-1-4-submit-83609-crop,3.215
1-1-4-submit-83619-crop,3.445
12-1-9-submit-00000-crop,3.845
12-1-9-submit-82495-crop,3.09
12-1-9-submit-82501-crop,3.895
12-1-9-submit-82508-crop,1.795
12-1-9-submit-82511-crop,3.72
12-1-9-submit-82882-crop,3.91
12-1-9-submit-82910-crop,3.65
12-1-9-submit-82999-crop,2.755
12-1-9-submit-83063-crop,2.63
12-1-9-submit-83485-crop,1.775
12-1-9-submit-83496-crop,2.93
12-1-9-submit-83609-crop,3.215
12-1-9-submit-83619-crop,3.445
12-2-4-submit-00000-crop,3.845
12-2-4-submit-82495-crop,3.09
12-2-4-submit-82501-crop,3.895
12-2-4-submit-82508-crop,1.795
12-2-4-submit-82511-crop,3.72
12-2-4-submit-82882-crop,3.91
12-2-4-submit-82910-crop,3.65
12-2-4-submit-82999-crop,2.755
12-2-4-submit-83063-crop,2.63
12-2-4-submit-83485-crop,1.775
12-2-4-submit-83496-crop,2.93
12-2-4-submit-83609-crop,3.215
12-2-4-submit-83619-crop,3.445
1-2-3-submit-00000-crop,3.845
1-2-3-submit-82495-crop,3.09
1-2-3-submit-82501-crop,3.895
1-2-3-submit-82508-crop,1.795
1-2-3-submit-82511-crop,3.72
1-2-3-submit-82882-crop,3.91
1-2-3-submit-82910-crop,3.65
1-2-3-submit-82999-crop,2.755
1-2-3-submit-83063-crop,2.63
1-2-3-submit-83485-crop,1.775
1-2-3-submit-83496-crop,2.93
1-2-3-submit-83609-crop,3.215
1-2-3-submit-83619-crop,3.445
13-1-3-submit-00000-crop,3.845
13-1-3-submit-82495-crop,3.09
13-1-3-submit-82501-crop,3.895
13-1-3-submit-82508-crop,1.795
13-1-3-submit-82511-crop,3.72
13-1-3-submit-82882-crop,3.91
13-1-3-submit-82910-crop,3.65
13-1-3-submit-82999-crop,2.755
13-1-3-submit-83063-crop,2.63
13-1-3-submit-83485-crop,1.775
13-1-3-submit-83496-crop,2.93
13-1-3-submit-83609-crop,3.215
13-1-3-submit-83619-crop,3.445
13-2-4-submit-00000-crop,3.845
13-2-4-submit-82495-crop,3.09
13-2-4-submit-82501-crop,3.895
13-2-4-submit-82508-crop,1.795
13-2-4-submit-82511-crop,3.72
13-2-4-submit-82882-crop,3.91
13-2-4-submit-82910-crop,3.65
13-2-4-submit-82999-crop,2.755
13-2-4-submit-83063-crop,2.63
13-2-4-submit-83485-crop,1.775
13-2-4-submit-83496-crop,2.93
13-2-4-submit-83609-crop,3.215
13-2-4-submit-83619-crop,3.445
14-1-2-submit-00000-crop,3.845
14-1-2-submit-82495-crop,3.09
14-1-2-submit-82501-crop,3.895
14-1-2-submit-82508-crop,1.795
14-1-2-submit-82511-crop,3.72
14-1-2-submit-82882-crop,3.91
14-1-2-submit-82910-crop,3.65
14-1-2-submit-82999-crop,2.755
14-1-2-submit-83063-crop,2.63
14-1-2-submit-83485-crop,1.775
14-1-2-submit-83496-crop,2.93
14-1-2-submit-83609-crop,3.215
14-1-2-submit-83619-crop,3.445
14-2-4-submit-00000-crop,3.845
14-2-4-submit-82495-crop,3.09
14-2-4-submit-82501-crop,3.895
14-2-4-submit-82508-crop,1.795
14-2-4-submit-82511-crop,3.72
14-2-4-submit-82882-crop,3.91
14-2-4-submit-82910-crop,3.65
14-2-4-submit-82999-crop,2.755
14-2-4-submit-83063-crop,2.63
14-2-4-submit-83485-crop,1.775
14-2-4-submit-83496-crop,2.93
14-2-4-submit-83609-crop,3.215
14-2-4-submit-83619-crop,3.445
15-1-4-submit-00000-crop,3.845
15-1-4-submit-82495-crop,3.09
15-1-4-submit-82501-crop,3.895
15-1-4-submit-82508-crop,1.795
15-1-4-submit-82511-crop,3.72
15-1-4-submit-82882-crop,3.91
15-1-4-submit-82910-crop,3.65
15-1-4-submit-82999-crop,2.755
15-1-4-submit-83063-crop,2.63
15-1-4-submit-83485-crop,1.775
15-1-4-submit-83496-crop,2.93
15-1-4-submit-83609-crop,3.215
15-1-4-submit-83619-crop,3.445
15-2-3-submit-00000-crop,3.845
15-2-3-submit-82495-crop,3.09
15-2-3-submit-82501-crop,3.895
15-2-3-submit-82508-crop,1.795
15-2-3-submit-82511-crop,3.72
15-2-3-submit-82882-crop,3.91
15-2-3-submit-82910-crop,3.65
