name,width,height,framerate
10-1-1-submit-00000,1920,1080,30.0
10-1-1-submit-73479,1920,1080,30.0
10-1-1-submit-73549,1920,1080,25.0
10-1-1-submit-74734,1920,1080,30.0
10-1-1-submit-74766,1920,1080,30.0
10-1-1-submit-75090,1920,1080,30.0
10-1-1-target,1920,1080,30.0
10-2-6-submit-00000,1920,1080,30.0
10-2-6-submit-73479,1920,1080,30.0
10-2-6-submit-73549,1920,1080,25.0
10-2-6-submit-74734,1920,1080,30.0
10-2-6-submit-74766,1920,1080,30.0
10-2-6-submit-75090,1920,1080,30.0
10-2-6-target,1920,1080,30.0
1-1-3-submit-00000,1920,1080,30.0
1-1-3-submit-73479,1920,1080,30.0
1-1-3-submit-73549,1920,1080,25.0
1-1-3-submit-74734,1920,1080,30.0
1-1-3-submit-74766,1920,1080,30.0
1-1-3-submit-75090,1920,1080,30.0
1-1-3-target,1920,1080,30.0
12-1-2-submit-00000,1920,1080,30.0
12-1-2-submit-73479,1920,1080,30.0
12-1-2-submit-73549,1920,1080,25.0
12-1-2-submit-74734,1920,1080,30.0
12-1-2-submit-74766,1920,1080,30.0
12-1-2-submit-75090,1920,1080,30.0
12-1-2-target,1920,1080,30.0
12-2-1-submit-00000,1920,1080,30.0
12-2-1-submit-73479,1920,1080,30.0
12-2-1-submit-73549,1920,1080,25.0
12-2-1-submit-74734,1920,1080,30.0
12-2-1-submit-74766,1920,1080,30.0
12-2-1-submit-75090,1920,1080,30.0
12-2-1-target,1920,1080,30.0
1-2-2-submit-00000,1920,1080,30.0
1-2-2-submit-73479,1920,1080,30.0
1-2-2-submit-73549,1920,1080,25.0
1-2-2-submit-74734,1920,1080,30.0
1-2-2-submit-74766,1920,1080,30.0
1-2-2-submit-75090,1920,1080,30.0
1-2-2-target,1920,1080,30.0
13-1-1-submit-00000,1920,1080,30.0
13-1-1-submit-73479,1920,1080,30.0
13-1-1-submit-73549,1920,1080,25.0
13-1-1-submit-74734,1920,1080,30.0
13-1-1-submit-74766,1920,1080,30.0
13-1-1-submit-75090,1920,1080,30.0
13-1-1-target,1920,1080,30.0
13-2-2-submit-00000,1920,1080,120.0
13-2-2-submit-73479,1920,1080,120.0
13-2-2-submit-73549,1920,1080,25.0
13-2-2-submit-74734,1920,1080,120.0
13-2-2-submit-74766,1920,1080,30.0
13-2-2-submit-75090,1920,1080,120.0
13-2-2-target,1920,1080,120.0
14-1-1-submit-00000,1920,1080,30.0
14-1-1-submit-73479,1920,1080,30.0
14-1-1-submit-73549,1920,1080,25.0
14-1-1-submit-74734,1920,1080,30.0
14-1-1-submit-74766,1920,1080,30.0
14-1-1-submit-75090,1920,1080,30.0
14-1-1-target,1920,1080,30.0
14-2-2-submit-00000,1920,1080,30.0
14-2-2-submit-73479,1920,1080,30.0
14-2-2-submit-73549,1920,1080,25.0
14-2-2-submit-74734,1920,1080,30.0
14-2-2-submit-74766,1920,1080,30.0
14-2-2-submit-75090,1920,1080,30.0
14-2-2-target,1920,1080,30.0
15-1-2-submit-00000,1920,1080,30.0
15-1-2-submit-73479,1920,1080,30.0
15-1-2-submit-73549,1920,1080,25.0
15-1-2-submit-74734,1920,1080,30.0
15-1-2-submit-74766,1920,1080,30.0
15-1-2-submit-75090,1920,1080,30.0
15-1-2-target,1920,1080,30.0
15-2-1-submit-00000,1920,1080,30.0
15-2-1-submit-73479,1920,1080,30.0
15-2-1-submit-73549,1920,1080,25.0
15-2-1-submit-74734,1920,1080,30.0
15-2-1-submit-74766,1920,1080,30.0
15-2-1-submit-75090,1920,1080,30.0
15-2-1-target,1920,1080,30.0
16-1-2-submit-00000,1920,1080,30.0
16-1-2-submit-73479,1920,1080,30.0
16-1-2-submit-73549,1920,1080,25.0
16-1-2-submit-74734,1920,1080,30.0
16-1-2-submit-74766,1920,1080,30.0
16-1-2-submit-75090,1920,1080,30.0
16-1-2-target,1920,1080,30.0
16-2-3-submit-00000,1920,1080,30.0
16-2-3-submit-73479,1920,1080,30.0
16-2-3-submit-73549,1920,1080,25.0
16-2-3-submit-74734,1920,1080,30.0
16-2-3-submit-74766,1920,1080,30.0
16-2-3-submit-75090,1920,1080,30.0
16-2-3-target,1920,1080,30.0
18-1-1-submit-00000,1920,1080,25.0
18-1-1-submit-73479,1920,1080,25.0
18-1-1-submit-73549,1920,1080,25.0
18-1-1-submit-74734,1920,1080,25.0
18-1-1-submit-74766,1920,1080,30.0
18-1-1-submit-75090,1920,1080,25.0
18-1-1-target,1920,1080,25.0
18-2-2-submit-00000,1920,1080,30.0
18-2-2-submit-73479,1920,1080,30.0
18-2-2-submit-73549,1920,1080,25.0
18-2-2-submit-74734,1920,1080,30.0
18-2-2-submit-74766,1920,1080,30.0
