,Unnamed: 0,name,width,height,framerate,mos
0,0,1-1-3-submit-00000-crop,732,732,30.0,3.5450000000000004
1,1,1-1-3-submit-73479-crop,732,732,30.0,2.7299999999999995
2,2,1-1-3-submit-73549-crop,732,732,25.0,3.2399999999999998
3,3,1-1-3-submit-74734-crop,732,732,30.0,2.96
4,4,1-1-3-submit-74766-crop,732,732,30.0,1.9300000000000004
5,5,1-1-3-submit-75090-crop,732,732,30.0,2.675
6,6,1-2-2-submit-00000-crop,560,560,30.0,3.5450000000000004
7,7,1-2-2-submit-73479-crop,560,560,30.0,2.7299999999999995
8,8,1-2-2-submit-73549-crop,560,560,25.0,3.2399999999999998
9,9,1-2-2-submit-74734-crop,560,560,30.0,2.96
10,10,1-2-2-submit-74766-crop,560,560,30.0,1.9300000000000004
11,11,1-2-2-submit-75090-crop,560,560,30.0,2.675
12,12,2-1-4-submit-00000-crop,602,602,30.0,3.5450000000000004
13,13,2-1-4-submit-73479-crop,602,602,30.0,2.7299999999999995
14,14,2-1-4-submit-73549-crop,602,602,25.0,3.2399999999999998
15,15,2-1-4-submit-74734-crop,602,602,30.0,2.96
16,16,2-1-4-submit-74766-crop,602,602,30.0,1.9300000000000004
17,17,2-1-4-submit-75090-crop,602,602,30.0,2.675
18,18,2-2-1-submit-00000-crop,644,644,30.0,3.5450000000000004
19,19,2-2-1-submit-73479-crop,644,644,30.0,2.7299999999999995
20,20,2-2-1-submit-73549-crop,644,644,25.0,3.2399999999999998
21,21,2-2-1-submit-74734-crop,644,644,30.0,2.96
22,22,2-2-1-submit-74766-crop,644,644,30.0,1.9300000000000004
23,23,2-2-1-submit-75090-crop,644,644,30.0,2.675
24,24,3-1-2-submit-00000-crop,730,730,30.0,3.5450000000000004
25,25,3-1-2-submit-73479-crop,730,730,30.0,2.7299999999999995
26,26,3-1-2-submit-73549-crop,730,730,25.0,3.2399999999999998
27,27,3-1-2-submit-74734-crop,730,730,30.0,2.96
28,28,3-1-2-submit-74766-crop,730,730,30.0,1.9300000000000004
29,29,3-1-2-submit-75090-crop,730,730,30.0,2.675
30,30,3-2-5-submit-00000-crop,754,754,30.0,3.5450000000000004
31,31,3-2-5-submit-73479-crop,754,754,30.0,2.7299999999999995
32,32,3-2-5-submit-73549-crop,754,754,25.0,3.2399999999999998
33,33,3-2-5-submit-74734-crop,754,754,30.0,2.96
34,34,3-2-5-submit-74766-crop,754,754,30.0,1.9300000000000004
35,35,3-2-5-submit-75090-crop,754,754,30.0,2.675
36,36,4-1-1-submit-00000-crop,582,582,30.0,3.5450000000000004
37,37,4-1-1-submit-73479-crop,582,582,30.0,2.7299999999999995
38,38,4-1-1-submit-73549-crop,582,582,25.0,3.2399999999999998
39,39,4-1-1-submit-74734-crop,582,582,30.0,2.96
40,40,4-1-1-submit-74766-crop,582,582,30.0,1.9300000000000004
41,41,4-1-1-submit-75090-crop,582,582,30.0,2.675
