name,mos
10-1-8-submit-00000-crop,3.79
10-1-8-submit-91740-crop,3.48
10-1-8-submit-92068-crop,3.79
10-1-8-submit-92069-crop,3.555
10-1-8-submit-92147-crop,3.555
10-1-8-submit-92582-crop,3.17
10-1-8-submit-92584-crop,1.805
10-1-8-submit-93014-crop,3.87
10-1-8-submit-93056-crop,3.915
10-1-8-submit-93059-crop,4.04
10-1-8-submit-93060-crop,3.97
10-1-8-submit-93062-crop,3.96
10-1-8-submit-93065-crop,3.955
10-1-8-submit-93110-crop,3.72
10-1-8-submit-93169-crop,2.51
10-1-8-submit-93170-crop,2.6
10-2-2-submit-00000-crop,3.79
10-2-2-submit-91740-crop,3.48
10-2-2-submit-92068-crop,3.79
10-2-2-submit-92069-crop,3.555
10-2-2-submit-92147-crop,3.555
10-2-2-submit-92582-crop,3.17
10-2-2-submit-92584-crop,1.805
10-2-2-submit-93014-crop,3.87
10-2-2-submit-93056-crop,3.915
10-2-2-submit-93059-crop,4.04
10-2-2-submit-93060-crop,3.97
10-2-2-submit-93062-crop,3.96
10-2-2-submit-93065-crop,3.955
10-2-2-submit-93110-crop,3.72
10-2-2-submit-93169-crop,2.51
10-2-2-submit-93170-crop,2.6
1-1-6-submit-00000-crop,3.79
1-1-6-submit-91740-crop,3.48
1-1-6-submit-92068-crop,3.79
1-1-6-submit-92069-crop,3.555
1-1-6-submit-92147-crop,3.555
1-1-6-submit-92582-crop,3.17
1-1-6-submit-92584-crop,1.805
1-1-6-submit-93014-crop,3.87
1-1-6-submit-93056-crop,3.915
1-1-6-submit-93059-crop,4.04
1-1-6-submit-93060-crop,3.97
1-1-6-submit-93062-crop,3.96
1-1-6-submit-93065-crop,3.955
1-1-6-submit-93110-crop,3.72
1-1-6-submit-93169-crop,2.51
1-1-6-submit-93170-crop,2.6
12-1-15-submit-00000-crop,3.79
12-1-15-submit-91740-crop,3.48
12-1-15-submit-92068-crop,3.79
12-1-15-submit-92069-crop,3.555
12-1-15-submit-92147-crop,3.555
12-1-15-submit-92582-crop,3.17
12-1-15-submit-92584-crop,1.805
12-1-15-submit-93014-crop,3.87
12-1-15-submit-93056-crop,3.915
12-1-15-submit-93059-crop,4.04
12-1-15-submit-93060-crop,3.97
12-1-15-submit-93062-crop,3.96
12-1-15-submit-93065-crop,3.955
12-1-15-submit-93110-crop,3.72
12-1-15-submit-93169-crop,2.51
12-1-15-submit-93170-crop,2.6
12-2-12-submit-00000-crop,3.79
12-2-12-submit-91740-crop,3.48
12-2-12-submit-92068-crop,3.79
12-2-12-submit-92069-crop,3.555
12-2-12-submit-92147-crop,3.555
12-2-12-submit-92582-crop,3.17
12-2-12-submit-92584-crop,1.805
12-2-12-submit-93014-crop,3.87
12-2-12-submit-93056-crop,3.915
12-2-12-submit-93059-crop,4.04
12-2-12-submit-93060-crop,3.97
12-2-12-submit-93062-crop,3.96
12-2-12-submit-93065-crop,3.955
12-2-12-submit-93110-crop,3.72
12-2-12-submit-93169-crop,2.51
12-2-12-submit-93170-crop,2.6
1-2-5-submit-00000-crop,3.79
1-2-5-submit-91740-crop,3.48
1-2-5-submit-92068-crop,3.79
