,name,width,height,framerate,mos
0,1-1-3-submit-00000-crop,732,732,30.0,4.4
1,1-1-3-submit-73479-crop,732,732,30.0,2.2
2,1-1-3-submit-73549-crop,732,732,25.0,3.6
3,1-1-3-submit-74734-crop,732,732,30.0,3.6
4,1-1-3-submit-74766-crop,732,732,30.0,1.0
5,1-1-3-submit-75090-crop,732,732,30.0,2.4
6,1-2-2-submit-00000-crop,560,560,30.0,4.2
7,1-2-2-submit-73479-crop,560,560,30.0,2.4
8,1-2-2-submit-73549-crop,560,560,25.0,3.4
9,1-2-2-submit-74734-crop,560,560,30.0,3.0
10,1-2-2-submit-74766-crop,560,560,30.0,2.0
11,1-2-2-submit-75090-crop,560,560,30.0,2.8
12,2-1-4-submit-00000-crop,602,602,30.0,4.2
13,2-1-4-submit-73479-crop,602,602,30.0,2.6
14,2-1-4-submit-73549-crop,602,602,25.0,3.4
15,2-1-4-submit-74734-crop,602,602,30.0,3.2
16,2-1-4-submit-74766-crop,602,602,30.0,1.8
17,2-1-4-submit-75090-crop,602,602,30.0,2.8
18,2-2-1-submit-00000-crop,644,644,30.0,3.4
19,2-2-1-submit-73479-crop,644,644,30.0,2.6
20,2-2-1-submit-73549-crop,644,644,25.0,4.0
21,2-2-1-submit-74734-crop,644,644,30.0,3.0
22,2-2-1-submit-74766-crop,644,644,30.0,1.6
23,2-2-1-submit-75090-crop,644,644,30.0,2.4
24,3-1-2-submit-00000-crop,730,730,30.0,4.2
25,3-1-2-submit-73479-crop,730,730,30.0,2.2
26,3-1-2-submit-73549-crop,730,730,25.0,4.0
27,3-1-2-submit-74734-crop,730,730,30.0,2.8
28,3-1-2-submit-74766-crop,730,730,30.0,1.6
29,3-1-2-submit-75090-crop,730,730,30.0,2.2
30,3-2-5-submit-00000-crop,754,754,30.0,4.0
31,3-2-5-submit-73479-crop,754,754,30.0,2.0
32,3-2-5-submit-73549-crop,754,754,25.0,2.8
33,3-2-5-submit-74734-crop,754,754,30.0,2.2
34,3-2-5-submit-74766-crop,754,754,30.0,1.6
35,3-2-5-submit-75090-crop,754,754,30.0,2.4
36,4-1-1-submit-00000-crop,582,582,30.0,2.8
